room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Tower Hamlets,Bow West,43,5,2,1,39,51.526939,-0.029301
Private room,Tower Hamlets,Bromley North,0,0,2,1,24,51.5278,-0.017016
Private room,Tower Hamlets,Bromley South,0,0,1,1,28,51.521614,-0.019937
Private room,Hackney,Hackney Wick,8,4,2,1,40,51.54277,-0.047044
Private room,Hackney,Hackney Wick,1,0,1,1,38,51.542755,-0.046428
Private room,Hackney,Hackney Wick,2,0,1,1,38,51.542351,-0.03848
Private room,Islington,Caledonian,10,5,2,1,40,51.537626,-0.117101
Private room,Islington,St. Mary's,2,0,2,1,34,51.537771,-0.106926
Private room,Islington,Clerkenwell,1,0,2,1,38,51.527982,-0.101276
Private room,Camden,Holborn and Covent Garden,12,4.5,2,1,26,51.515708,-0.122649
Private room,Islington,Caledonian,2,0,1,1,26,51.539496,-0.122468
Private room,Camden,King's Cross,33,4.5,2,1,37,51.527488,-0.115484
Private room,Islington,Bunhill,41,4,2,1,40,51.528483,-0.098349
Private room,Islington,Caledonian,4,4.5,1,1,34,51.54128,-0.113557
Private room,Islington,Bunhill,2,0,2,1,38,51.531324,-0.106108
Private room,Hackney,Hoxton West,6,4,2,1,38,51.529428,-0.088183
Private room,Islington,Barnsbury,6,5,2,1,26,51.534399,-0.116143
Private room,Islington,Barnsbury,59,4.5,1,1,38,51.535281,-0.113319
Private room,Tower Hamlets,Whitechapel,0,0,2,1,38,51.515527,-0.061238
Private room,Tower Hamlets,Whitechapel,1,0,1,1,26,51.514593,-0.065091
Private room,Tower Hamlets,Whitechapel,0,0,1,1,40,51.516471,-0.060601
Private room,Hackney,Hackney Central,0,0,1,1,38,51.54661,-0.063169
Private room,City of London,City of London,0,0,1,1,38,51.515545,-0.0782
Private room,Tower Hamlets,Spitalfields & Banglatown,1,0,1,1,36,51.522154,-0.071424
Private room,Tower Hamlets,St. Peter's,3,4.5,2,1,40,51.529411,-0.062586
Private room,Tower Hamlets,Weavers,0,0,1,1,28,51.526056,-0.065404
Private room,Tower Hamlets,St. Peter's,0,0,1,1,27,51.526825,-0.06477
Private room,Tower Hamlets,Weavers,2,0,2,1,38,51.525915,-0.066228
Private room,Tower Hamlets,Weavers,6,5,2,1,32,51.523796,-0.070422
Private room,Tower Hamlets,Weavers,0,0,1,1,26,51.52402,-0.073486
Private room,Tower Hamlets,Weavers,1,0,2,1,38,51.525474,-0.069522
Private room,Tower Hamlets,Weavers,9,3.5,2,1,38,51.526819,-0.067711
Private room,Tower Hamlets,Weavers,1,0,4,1,38,51.526846,-0.067719
Private room,Tower Hamlets,Weavers,1,0,1,1,38,51.530418,-0.065935
Private room,Tower Hamlets,Weavers,0,0,1,1,38,51.527606,-0.067574
Private room,Hackney,De Beauvoir,0,0,1,1,38,51.538234,-0.081546
Private room,Tower Hamlets,Weavers,6,3.5,2,1,37,51.525173,-0.072542
Private room,Hackney,De Beauvoir,1,0,1,1,32,51.537917,-0.081342
Private room,Tower Hamlets,Whitechapel,1,0,1,1,37,51.518348,-0.061498
Private room,Tower Hamlets,St. Peter's,4,3,2,1,38,51.525259,-0.06395
Private room,Tower Hamlets,Whitechapel,8,4.5,2,1,40,51.517869,-0.060599
Private room,Islington,St. Peter's,2,0,2,1,34,51.536195,-0.093933
Private room,Tower Hamlets,Spitalfields & Banglatown,1,0,2,1,38,51.520739,-0.069288
Private room,Hackney,Haggerston,1,0,1,1,40,51.536702,-0.068446
Private room,Tower Hamlets,Spitalfields & Banglatown,0,0,2,1,37,51.521619,-0.065523
Private room,Islington,Canonbury,2,0,1,1,36,51.540211,-0.085594
Private room,Tower Hamlets,Weavers,2,0,1,1,38,51.528353,-0.073865
Private room,Tower Hamlets,Whitechapel,1,0,4,1,38,51.515471,-0.064036
Private room,Hackney,London Fields,0,0,1,1,38,51.537145,-0.06064
Private room,Hackney,Hoxton West,1,0,1,1,38,51.529749,-0.09237
Private room,Tower Hamlets,Weavers,0,0,2,1,37,51.525119,-0.065552
Private room,Hackney,Hoxton West,1,0,2,1,38,51.529534,-0.090915
Private room,Hackney,Hoxton East & Shoreditch,0,0,1,1,28,51.526687,-0.079254
Private room,Hackney,Haggerston,4,5,2,1,32,51.535583,-0.068199
Private room,Hackney,Hoxton West,1,0,2,1,31,51.531794,-0.087147
Private room,Tower Hamlets,Spitalfields & Banglatown,0,0,1,2,32,51.517363,-0.076682
Private room,Tower Hamlets,Spitalfields & Banglatown,35,4.5,2,1,40,51.519211,-0.064397
Private room,Tower Hamlets,Whitechapel,53,3.5,2,1,38,51.514852,-0.061992
Private room,Islington,Bunhill,31,4,2,1,40,51.528623,-0.093564
Private room,Hackney,Hoxton East & Shoreditch,0,0,2,1,27,51.536056,-0.078317
